evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20030222,12535268,34.3063,243.1595,4.58,3.5
20030222,12545394,34.3135,243.1535,6.38,2.3
20030222,12560489,34.307,243.1558,5.53,2.6
20030222,12581909,34.312,243.1533,4.73,2.6
20030222,13022562,34.3078,243.1538,5.32,2.8
20030222,13171778,34.3187,243.1448,2.7,2.7
20030222,13213864,34.316,243.1408,6.3,2.2
20030222,13235591,34.3235,243.1403,5.05,2.4
20030222,13241122,34.3043,243.1542,6.16,2.5
20030222,13274059,34.3145,243.1453,3.32,2.9
20030222,13305820,34.3155,243.1443,5.82,2.8
20030222,13452007,34.3123,243.1577,5.05,2.5
20030222,13591323,34.3172,243.1497,4.32,2.5
20030222,14003517,34.3168,243.1448,4.99,2.3
20030222,14052132,34.3087,243.1563,5.43,2.3
20030222,14160842,34.3242,243.142,4.16,4.1
20030222,14190462,34.3087,243.1562,5.35,3.0
20030222,14354706,34.3133,243.1507,5.87,2.3
20030222,14361090,34.3078,243.1503,4.24,2.8
20030222,14470148,34.3163,243.1482,5.57,2.4
20030222,15000518,34.3153,243.1537,2.93,2.6
20030222,15493255,34.3078,243.1537,5.74,2.7
20030222,16121698,34.3135,243.1508,4.32,3.9
20030222,16275930,34.3165,243.141,3.5,2.5
20030222,16565664,34.3097,243.1518,5.57,2.6
20030222,17501332,34.3198,243.1493,3.39,3.1
20030222,17582784,34.3068,243.1593,4.92,2.4
20030222,17583748,34.3078,243.1542,5.03,2.5
20030222,19334580,34.3097,243.1497,3.02,4.5
20030222,20401250,34.3073,243.154,5.07,3.0
20030222,21260354,34.3098,243.154,3.63,2.2
20030222,22293822,34.3247,243.1425,4.08,2.5
20030222,23003398,34.3147,243.1475,4.99,2.4
20030222,23013868,34.3022,243.1603,4.54,2.4
20030223,07323372,33.6433,243.232,15.09,2.5
20030223,09242341,34.3127,243.1497,3.72,3.5
20030223,12415673,34.315,243.1503,5.23,2.3
20030223,15525130,34.3048,243.1533,5.86,3.4
20030223,15542786,34.3063,243.1518,5.19,2.6
20030223,17055344,34.3153,243.1528,3.78,2.4
20030223,17184692,34.3047,243.1535,5.56,2.3
20030223,20281360,34.317,243.1582,2.35,3.3
20030224,02420836,34.307,243.1675,3.65,3.0
20030224,04035996,34.3122,243.1477,6.16,3.3
20030224,08270072,34.317,243.1498,4.62,2.9
20030224,12153948,34.3127,243.1468,6.55,2.7
20030224,19122552,34.3173,243.1455,5.33,2.4
20030224,23064460,33.4453,243.5635,13.07,3.2
20030225,02261890,34.3143,243.1493,5.21,3.0
20030225,02301896,32.5268,244.2487,5.6,2.5
20030225,03494841,34.3177,243.1585,3.43,2.4
20030225,04030480,34.3155,243.1555,2.71,4.6
20030225,04125194,34.3152,243.1557,2.42,2.9
20030225,04293771,34.316,243.1537,4.05,2.3
20030225,04421320,34.3202,243.152,3.42,2.4
20030225,04432173,34.3147,243.1582,3.68,2.3
20030225,04553040,34.3048,243.1543,5.18,2.8
20030225,04573640,34.3143,243.157,3.15,2.4
20030225,05210226,34.3148,243.158,3.05,2.4
20030226,01452865,34.331,243.1432,3.33,3.6
20030226,03051347,34.3088,243.1533,5.6,2.6
20030226,14260012,34.3062,243.164,3.57,2.5
20030226,22494232,34.3192,243.1592,3.14,2.4
20030227,05002170,34.3043,243.157,4.6,4.0
20030227,05475125,34.3077,243.1512,5.86,2.6
20030227,05485464,34.3072,243.1512,5.78,2.6
20030228,11565287,34.3177,243.1487,3.88,2.6
20030228,20530274,34.3138,243.1552,3.49,2.5
20030228,22433932,34.3007,243.1452,5.16,2.7
20030301,02302563,32.904,244.4818,14.93,2.4
